SA TABLE:
24 - OP_ILI - [('REDUCE', '<unarni_izraz> -> <postfiks_izraz>')]
24 - OP_BIN_I - [('REDUCE', '<unarni_izraz> -> <postfiks_izraz>')]
24 - OP_GTE - [('REDUCE', '<unarni_izraz> -> <postfiks_izraz>')]
24 -  PLUS - [('REDUCE', '<unarni_izraz> -> <postfiks_izraz>')]
24 - OP_DIJELI - [('REDUCE', '<unarni_izraz> -> <postfiks_izraz>')]
24 - OP_EQ - [('REDUCE', '<unarni_izraz> -> <postfiks_izraz>')]
24 - OP_NEQ - [('REDUCE', '<unarni_izraz> -> <postfiks_izraz>')]
24 - MINUS - [('REDUCE', '<unarni_izraz> -> <postfiks_izraz>')]
24 - TOCKAZAREZ - [('REDUCE', '<unarni_izraz> -> <postfiks_izraz>')]
24 - OP_GT - [('REDUCE', '<unarni_izraz> -> <postfiks_izraz>')]
24 - OP_LT - [('REDUCE', '<unarni_izraz> -> <postfiks_izraz>')]
24 - OP_MOD - [('REDUCE', '<unarni_izraz> -> <postfiks_izraz>')]
24 - OP_LTE - [('REDUCE', '<unarni_izraz> -> <postfiks_izraz>')]
24 - ZAREZ - [('REDUCE', '<unarni_izraz> -> <postfiks_izraz>')]
24 - OP_PUTA - [('REDUCE', '<unarni_izraz> -> <postfiks_izraz>')]
24 - L_UGL_ZAGRADA - [('MOVE', 56)]
24 - L_ZAGRADA - [('MOVE', 57)]
24 - OP_INC - [('MOVE', 58)]
24 - OP_DEC - [('MOVE', 59)]
24 - OP_PRIDRUZI - [('MOVE', 105)]
25 - OP_BIN_ILI - [('REDUCE', '<multiplikativni_izraz> -> <cast_izraz>')]
25 -  OP_I - [('REDUCE', '<multiplikativni_izraz> -> <cast_izraz>')]
25 - OP_MOD - [('REDUCE', '<multiplikativni_izraz> -> <cast_izraz>')]
25 - OP_BIN_XILI - [('REDUCE', '<multiplikativni_izraz> -> <cast_izraz>')]
25 - OP_ILI - [('REDUCE', '<multiplikativni_izraz> -> <cast_izraz>')]
25 - OP_BIN_I - [('REDUCE', '<multiplikativni_izraz> -> <cast_izraz>')]
25 - OP_GTE - [('REDUCE', '<multiplikativni_izraz> -> <cast_izraz>')]
25 -  PLUS - [('REDUCE', '<multiplikativni_izraz> -> <cast_izraz>')]
25 - OP_DIJELI - [('REDUCE', '<multiplikativni_izraz> -> <cast_izraz>')]
25 - OP_EQ - [('REDUCE', '<multiplikativni_izraz> -> <cast_izraz>')]
25 - OP_NEQ - [('REDUCE', '<multiplikativni_izraz> -> <cast_izraz>')]
25 - MINUS - [('REDUCE', '<multiplikativni_izraz> -> <cast_izraz>')]
25 - TOCKAZAREZ - [('REDUCE', '<multiplikativni_izraz> -> <cast_izraz>')]
25 - OP_GT - [('REDUCE', '<multiplikativni_izraz> -> <cast_izraz>')]
25 - OP_LT - [('REDUCE', '<multiplikativni_izraz> -> <cast_izraz>')]
25 - OP_LTE - [('REDUCE', '<multiplikativni_izraz> -> <cast_izraz>')]
25 - ZAREZ - [('REDUCE', '<multiplikativni_izraz> -> <cast_izraz>')]
25 - OP_PUTA - [('REDUCE', '<multiplikativni_izraz> -> <cast_izraz>')]
26 - OP_PRIDRUZI - [('REDUCE', '<primarni_izraz> -> ZNAK')]
29 - OP_BIN_ILI - [('REDUCE', '<jednakosni_izraz> -> <odnosni_izraz>')]
29 -  OP_I - [('REDUCE', '<jednakosni_izraz> -> <odnosni_izraz>')]
29 - OP_BIN_XILI - [('REDUCE', '<jednakosni_izraz> -> <odnosni_izraz>')]
29 - OP_ILI - [('REDUCE', '<jednakosni_izraz> -> <odnosni_izraz>')]
29 - OP_BIN_I - [('REDUCE', '<jednakosni_izraz> -> <odnosni_izraz>')]
29 - OP_EQ - [('REDUCE', '<jednakosni_izraz> -> <odnosni_izraz>')]
29 - OP_NEQ - [('REDUCE', '<jednakosni_izraz> -> <odnosni_izraz>')]
29 - TOCKAZAREZ - [('REDUCE', '<jednakosni_izraz> -> <odnosni_izraz>')]
29 - ZAREZ - [('REDUCE', '<jednakosni_izraz> -> <odnosni_izraz>')]
29 - OP_GTE - [('MOVE', 77)]
29 - OP_GT - [('MOVE', 78)]
29 - OP_LT - [('MOVE', 79)]
29 - OP_LTE - [('MOVE', 80)]
30 - OP_BIN_ILI - [('REDUCE', '<cast_izraz> -> <unarni_izraz>')]
30 -  OP_I - [('REDUCE', '<cast_izraz> -> <unarni_izraz>')]
30 - OP_MOD - [('REDUCE', '<cast_izraz> -> <unarni_izraz>')]
30 - OP_BIN_XILI - [('REDUCE', '<cast_izraz> -> <unarni_izraz>')]
30 - OP_ILI - [('REDUCE', '<cast_izraz> -> <unarni_izraz>')]
30 - OP_BIN_I - [('REDUCE', '<cast_izraz> -> <unarni_izraz>')]
30 - OP_GTE - [('REDUCE', '<cast_izraz> -> <unarni_izraz>')]
30 -  PLUS - [('REDUCE', '<cast_izraz> -> <unarni_izraz>')]
30 - OP_DIJELI - [('REDUCE', '<cast_izraz> -> <unarni_izraz>')]
30 - OP_EQ - [('REDUCE', '<cast_izraz> -> <unarni_izraz>')]
30 - OP_NEQ - [('REDUCE', '<cast_izraz> -> <unarni_izraz>')]
30 - MINUS - [('REDUCE', '<cast_izraz> -> <unarni_izraz>')]
30 - TOCKAZAREZ - [('REDUCE', '<cast_izraz> -> <unarni_izraz>')]
30 - OP_GT - [('REDUCE', '<cast_izraz> -> <unarni_izraz>')]
30 - OP_LT - [('REDUCE', '<cast_izraz> -> <unarni_izraz>')]
30 - OP_LTE - [('REDUCE', '<cast_izraz> -> <unarni_izraz>')]
30 - ZAREZ - [('REDUCE', '<cast_izraz> -> <unarni_izraz>')]
30 - OP_PUTA - [('REDUCE', '<cast_izraz> -> <unarni_izraz>')]
32 - OP_ILI - [('REDUCE', '<log_ili_izraz> -> <log_i_izraz>')]
32 - TOCKAZAREZ - [('REDUCE', '<log_ili_izraz> -> <log_i_izraz>')]
32 - ZAREZ - [('REDUCE', '<log_ili_izraz> -> <log_i_izraz>')]
32 -  OP_I - [('MOVE', 97)]
33 - OP_BIN_ILI - [('REDUCE', '<aditivni_izraz> -> <multiplikativni_izraz>')]
33 -  OP_I - [('REDUCE', '<aditivni_izraz> -> <multiplikativni_izraz>')]
33 - OP_BIN_XILI - [('REDUCE', '<aditivni_izraz> -> <multiplikativni_izraz>')]
33 - OP_ILI - [('REDUCE', '<aditivni_izraz> -> <multiplikativni_izraz>')]
33 - OP_BIN_I - [('REDUCE', '<aditivni_izraz> -> <multiplikativni_izraz>')]
33 - OP_GTE - [('REDUCE', '<aditivni_izraz> -> <multiplikativni_izraz>')]
33 -  PLUS - [('REDUCE', '<aditivni_izraz> -> <multiplikativni_izraz>')]
33 - OP_EQ - [('REDUCE', '<aditivni_izraz> -> <multiplikativni_izraz>')]
33 - OP_NEQ - [('REDUCE', '<aditivni_izraz> -> <multiplikativni_izraz>')]
33 - MINUS - [('REDUCE', '<aditivni_izraz> -> <multiplikativni_izraz>')]
33 - TOCKAZAREZ - [('REDUCE', '<aditivni_izraz> -> <multiplikativni_izraz>')]
33 - OP_GT - [('REDUCE', '<aditivni_izraz> -> <multiplikativni_izraz>')]
33 - OP_LT - [('REDUCE', '<aditivni_izraz> -> <multiplikativni_izraz>')]
33 - OP_LTE - [('REDUCE', '<aditivni_izraz> -> <multiplikativni_izraz>')]
33 - ZAREZ - [('REDUCE', '<aditivni_izraz> -> <multiplikativni_izraz>')]
33 - OP_MOD - [('MOVE', 50)]
33 - OP_DIJELI - [('MOVE', 51)]
33 - OP_PUTA - [('MOVE', 52)]
34 - TOCKAZAREZ - [('REDUCE', '<inicijalizator> -> <izraz_pridruzivanja>')]
34 - ZAREZ - [('REDUCE', '<inicijalizator> -> <izraz_pridruzivanja>')]
35 - OP_PRIDRUZI - [('REDUCE', '<primarni_izraz> -> IDN')]
36 - D_VIT_ZAGRADA - [('REDUCE', '<izraz_pridruzivanja> -> <log_ili_izraz>')]
36 - D_ZAGRADA - [('REDUCE', '<izraz_pridruzivanja> -> <log_ili_izraz>')]
36 - TOCKAZAREZ - [('REDUCE', '<izraz_pridruzivanja> -> <log_ili_izraz>')]
36 - ZAREZ - [('REDUCE', '<izraz_pridruzivanja> -> <log_ili_izraz>')]
36 - OP_ILI - [('MOVE', 95)]
37 - OP_BIN_ILI - [('REDUCE', '<bin_ili_izraz> -> <bin_xili_izraz>')]
37 -  OP_I - [('REDUCE', '<bin_ili_izraz> -> <bin_xili_izraz>')]
37 - OP_ILI - [('REDUCE', '<bin_ili_izraz> -> <bin_xili_izraz>')]
37 - TOCKAZAREZ - [('REDUCE', '<bin_ili_izraz> -> <bin_xili_izraz>')]
37 - ZAREZ - [('REDUCE', '<bin_ili_izraz> -> <bin_xili_izraz>')]
37 - OP_BIN_XILI - [('MOVE', 93)]
38 - OP_ILI - [('REDUCE', '<log_i_izraz> -> <bin_ili_izraz>')]
38 -  OP_I - [('REDUCE', '<log_i_izraz> -> <bin_ili_izraz>')]
38 - TOCKAZAREZ - [('REDUCE', '<log_i_izraz> -> <bin_ili_izraz>')]
38 - ZAREZ - [('REDUCE', '<log_i_izraz> -> <bin_ili_izraz>')]
38 - OP_BIN_ILI - [('MOVE', 91)]
39 -  BROJ - [('REDUCE', '<unarni_operator> -> PLUS')]
39 - OP_DEC - [('REDUCE', '<unarni_operator> -> PLUS')]
39 -  ZNAK - [('REDUCE', '<unarni_operator> -> PLUS')]
39 -  PLUS - [('REDUCE', '<unarni_operator> -> PLUS')]
39 - L_ZAGRADA - [('REDUCE', '<unarni_operator> -> PLUS')]
39 - NIZ_ZNAKOVA - [('REDUCE', '<unarni_operator> -> PLUS')]
39 - MINUS - [('REDUCE', '<unarni_operator> -> PLUS')]
39 - OP_TILDA - [('REDUCE', '<unarni_operator> -> PLUS')]
39 - OP_NEG - [('REDUCE', '<unarni_operator> -> PLUS')]
39 - OP_INC - [('REDUCE', '<unarni_operator> -> PLUS')]
39 -   IDN - [('REDUCE', '<unarni_operator> -> PLUS')]
41 - OP_GTE - [('REDUCE', '<postfiks_izraz> -> <primarni_izraz>')]
41 - L_UGL_ZAGRADA - [('REDUCE', '<postfiks_izraz> -> <primarni_izraz>')]
41 - L_ZAGRADA - [('REDUCE', '<postfiks_izraz> -> <primarni_izraz>')]
41 - MINUS - [('REDUCE', '<postfiks_izraz> -> <primarni_izraz>')]
41 - TOCKAZAREZ - [('REDUCE', '<postfiks_izraz> -> <primarni_izraz>')]
41 - OP_MOD - [('REDUCE', '<postfiks_izraz> -> <primarni_izraz>')]
41 - OP_LTE - [('REDUCE', '<postfiks_izraz> -> <primarni_izraz>')]
41 - ZAREZ - [('REDUCE', '<postfiks_izraz> -> <primarni_izraz>')]
41 - OP_ILI - [('REDUCE', '<postfiks_izraz> -> <primarni_izraz>')]
41 - OP_DIJELI - [('REDUCE', '<postfiks_izraz> -> <primarni_izraz>')]
41 - OP_BIN_XILI - [('REDUCE', '<postfiks_izraz> -> <primarni_izraz>')]
41 - OP_BIN_I - [('REDUCE', '<postfiks_izraz> -> <primarni_izraz>')]
41 -  PLUS - [('REDUCE', '<postfiks_izraz> -> <primarni_izraz>')]
41 - OP_NEQ - [('REDUCE', '<postfiks_izraz> -> <primarni_izraz>')]
41 - OP_INC - [('REDUCE', '<postfiks_izraz> -> <primarni_izraz>')]
41 - OP_BIN_ILI - [('REDUCE', '<postfiks_izraz> -> <primarni_izraz>')]
41 -  OP_I - [('REDUCE', '<postfiks_izraz> -> <primarni_izraz>')]
41 - OP_DEC - [('REDUCE', '<postfiks_izraz> -> <primarni_izraz>')]
41 - OP_PRIDRUZI - [('REDUCE', '<postfiks_izraz> -> <primarni_izraz>')]
41 - OP_EQ - [('REDUCE', '<postfiks_izraz> -> <primarni_izraz>')]
41 - OP_GT - [('REDUCE', '<postfiks_izraz> -> <primarni_izraz>')]
41 - OP_LT - [('REDUCE', '<postfiks_izraz> -> <primarni_izraz>')]
41 - OP_PUTA - [('REDUCE', '<postfiks_izraz> -> <primarni_izraz>')]
42 - OP_BIN_ILI - [('REDUCE', '<bin_i_izraz> -> <jednakosni_izraz>')]
42 -  OP_I - [('REDUCE', '<bin_i_izraz> -> <jednakosni_izraz>')]
42 - OP_BIN_XILI - [('REDUCE', '<bin_i_izraz> -> <jednakosni_izraz>')]
42 - OP_ILI - [('REDUCE', '<bin_i_izraz> -> <jednakosni_izraz>')]
42 - OP_BIN_I - [('REDUCE', '<bin_i_izraz> -> <jednakosni_izraz>')]
42 - TOCKAZAREZ - [('REDUCE', '<bin_i_izraz> -> <jednakosni_izraz>')]
42 - ZAREZ - [('REDUCE', '<bin_i_izraz> -> <jednakosni_izraz>')]
42 - OP_EQ - [('MOVE', 74)]
42 - OP_NEQ - [('MOVE', 75)]
43 - OP_PRIDRUZI - [('REDUCE', '<primarni_izraz> -> NIZ_ZNAKOVA')]
44 - OP_BIN_ILI - [('REDUCE', '<bin_xili_izraz> -> <bin_i_izraz>')]
44 -  OP_I - [('REDUCE', '<bin_xili_izraz> -> <bin_i_izraz>')]
44 - OP_BIN_XILI - [('REDUCE', '<bin_xili_izraz> -> <bin_i_izraz>')]
44 - OP_ILI - [('REDUCE', '<bin_xili_izraz> -> <bin_i_izraz>')]
44 - TOCKAZAREZ - [('REDUCE', '<bin_xili_izraz> -> <bin_i_izraz>')]
44 - ZAREZ - [('REDUCE', '<bin_xili_izraz> -> <bin_i_izraz>')]
44 - OP_BIN_I - [('MOVE', 72)]
45 - OP_BIN_ILI - [('REDUCE', '<odnosni_izraz> -> <aditivni_izraz>')]
45 -  OP_I - [('REDUCE', '<odnosni_izraz> -> <aditivni_izraz>')]
45 - OP_BIN_XILI - [('REDUCE', '<odnosni_izraz> -> <aditivni_izraz>')]
45 - OP_ILI - [('REDUCE', '<odnosni_izraz> -> <aditivni_izraz>')]
45 - OP_BIN_I - [('REDUCE', '<odnosni_izraz> -> <aditivni_izraz>')]
45 - OP_GTE - [('REDUCE', '<odnosni_izraz> -> <aditivni_izraz>')]
45 - OP_EQ - [('REDUCE', '<odnosni_izraz> -> <aditivni_izraz>')]
45 - OP_NEQ - [('REDUCE', '<odnosni_izraz> -> <aditivni_izraz>')]
45 - TOCKAZAREZ - [('REDUCE', '<odnosni_izraz> -> <aditivni_izraz>')]
45 - OP_GT - [('REDUCE', '<odnosni_izraz> -> <aditivni_izraz>')]
45 - OP_LT - [('REDUCE', '<odnosni_izraz> -> <aditivni_izraz>')]
45 - OP_LTE - [('REDUCE', '<odnosni_izraz> -> <aditivni_izraz>')]
45 - ZAREZ - [('REDUCE', '<odnosni_izraz> -> <aditivni_izraz>')]
45 - MINUS - [('MOVE', 46)]
45 -  PLUS - [('MOVE', 47)]
48 - OP_BIN_ILI - [('REDUCE', '<unarni_izraz> -> <postfiks_izraz>')]
48 -  OP_I - [('REDUCE', '<unarni_izraz> -> <postfiks_izraz>')]
48 - OP_BIN_XILI - [('REDUCE', '<unarni_izraz> -> <postfiks_izraz>')]
48 - OP_ILI - [('REDUCE', '<unarni_izraz> -> <postfiks_izraz>')]
48 - OP_BIN_I - [('REDUCE', '<unarni_izraz> -> <postfiks_izraz>')]
48 - OP_GTE - [('REDUCE', '<unarni_izraz> -> <postfiks_izraz>')]
48 -  PLUS - [('REDUCE', '<unarni_izraz> -> <postfiks_izraz>')]
48 - OP_DIJELI - [('REDUCE', '<unarni_izraz> -> <postfiks_izraz>')]
48 - OP_EQ - [('REDUCE', '<unarni_izraz> -> <postfiks_izraz>')]
48 - OP_NEQ - [('REDUCE', '<unarni_izraz> -> <postfiks_izraz>')]
48 - MINUS - [('REDUCE', '<unarni_izraz> -> <postfiks_izraz>')]
48 - TOCKAZAREZ - [('REDUCE', '<unarni_izraz> -> <postfiks_izraz>')]
48 - OP_GT - [('REDUCE', '<unarni_izraz> -> <postfiks_izraz>')]
48 - OP_LT - [('REDUCE', '<unarni_izraz> -> <postfiks_izraz>')]
48 - OP_MOD - [('REDUCE', '<unarni_izraz> -> <postfiks_izraz>')]
48 - OP_LTE - [('REDUCE', '<unarni_izraz> -> <postfiks_izraz>')]
48 - ZAREZ - [('REDUCE', '<unarni_izraz> -> <postfiks_izraz>')]
48 - OP_PUTA - [('REDUCE', '<unarni_izraz> -> <postfiks_izraz>')]
48 - L_UGL_ZAGRADA - [('MOVE', 56)]
48 - L_ZAGRADA - [('MOVE', 57)]
48 - OP_INC - [('MOVE', 58)]
48 - OP_DEC - [('MOVE', 59)]
49 - OP_BIN_ILI - [('REDUCE', '<aditivni_izraz> -> <aditivni_izraz> PLUS <multiplikativni_izraz>')]
49 -  OP_I - [('REDUCE', '<aditivni_izraz> -> <aditivni_izraz> PLUS <multiplikativni_izraz>')]
49 - OP_BIN_XILI - [('REDUCE', '<aditivni_izraz> -> <aditivni_izraz> PLUS <multiplikativni_izraz>')]
49 - OP_ILI - [('REDUCE', '<aditivni_izraz> -> <aditivni_izraz> PLUS <multiplikativni_izraz>')]
49 - OP_BIN_I - [('REDUCE', '<aditivni_izraz> -> <aditivni_izraz> PLUS <multiplikativni_izraz>')]
49 - OP_GTE - [('REDUCE', '<aditivni_izraz> -> <aditivni_izraz> PLUS <multiplikativni_izraz>')]
49 -  PLUS - [('REDUCE', '<aditivni_izraz> -> <aditivni_izraz> PLUS <multiplikativni_izraz>')]
49 - OP_EQ - [('REDUCE', '<aditivni_izraz> -> <aditivni_izraz> PLUS <multiplikativni_izraz>')]
